date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/21/2017,CIN,COL,4,6,-111,+103
05/21/2017,TB,NYY,2,3,-137,+126
05/21/2017,NYM,LAA,5,12,-105,-103
05/21/2017,BAL,TOR,1,3,-107,-101
05/21/2017,PIT,PHI,1,0,+104,-113
05/21/2017,ATL,WSH,2,3,+170,-185
05/21/2017,HOU,CLE,6,8,-102,-106
05/21/2017,MIN,KC,4,6,-119,+110
05/21/2017,STL,SF,8,3,-174,+160
05/21/2017,CHC,MIL,13,6,-215,+197
05/21/2017,OAK,BOS,3,12,+109,-118
05/21/2017,SEA,CWS,1,8,-124,+115
05/21/2017,LAD,MIA,6,3,-190,+174
05/21/2017,SD,ARI,5,1,+107,-116
05/21/2017,MIN,KC,8,4,-104,-104
05/21/2017,DET,TEX,2,5,+116,-126
