date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/31/2017,PIT,ARI,5,6,-106,-102
05/31/2017,TOR,CIN,5,4,-119,+110
05/31/2017,MIN,HOU,6,17,+130,-141
05/31/2017,MIA,PHI,10,2,-116,+107
05/31/2017,SD,CHC,2,1,+204,-223
05/31/2017,CLE,OAK,1,3,-155,+143
05/31/2017,BAL,NYY,10,4,-110,+102
05/31/2017,NYM,MIL,1,7,-196,+180
05/31/2017,TEX,TB,5,7,+133,-144
05/31/2017,CWS,BOS,1,4,+123,-133
05/31/2017,KC,DET,5,6,-113,+104
05/31/2017,STL,LAD,2,1,-125,+115
05/31/2017,LAA,ATL,2,1,-116,+107
05/31/2017,SEA,COL,5,0,-185,+170
05/31/2017,SF,WSH,1,3,+144,-156
