date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/23/2017,PHI,COL,2,8,+123,-133
05/23/2017,CHC,SF,4,1,-164,+151
05/23/2017,NYY,KC,2,6,-133,+123
05/23/2017,BAL,MIN,0,2,-121,+112
05/23/2017,WSH,SEA,10,1,-145,+134
05/23/2017,CIN,CLE,7,8,+160,-174
05/23/2017,BOS,TEX,11,6,-190,+174
05/23/2017,NYM,SD,9,3,-141,+130
05/23/2017,TB,LAA,0,4,-108,-100
05/23/2017,ATL,PIT,6,5,-104,-104
05/23/2017,MIL,TOR,3,4,+101,-109
05/23/2017,HOU,DET,6,2,-220,+201
05/23/2017,ARI,CWS,5,4,-160,+147
05/23/2017,OAK,MIA,9,11,-122,+113
05/23/2017,LAD,STL,2,1,-243,+221
