date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/05/2017,CHC,NYY,2,3,-130,+120
05/05/2017,CIN,SF,13,3,-115,+106
05/05/2017,PIT,MIL,4,0,-130,+120
05/05/2017,BAL,CWS,4,2,-177,+163
05/05/2017,PHI,WSH,2,4,+146,-158
05/05/2017,NYM,MIA,8,7,-106,-102
05/05/2017,TB,TOR,4,8,-147,+136
05/05/2017,ATL,STL,0,10,-113,+104
05/05/2017,MIN,BOS,4,3,+130,-141
05/05/2017,KC,CLE,3,1,+154,-167
05/05/2017,COL,ARI,3,6,-110,+102
05/05/2017,OAK,DET,2,7,-123,+114
05/05/2017,LAA,HOU,6,7,+115,-124
05/05/2017,SEA,TEX,1,3,+111,-120
05/05/2017,SD,LAD,2,8,+158,-172
