date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/16/2017,TOR,ATL,5,9,-133,+123
05/16/2017,CLE,TB,4,6,-155,+143
05/16/2017,PIT,WSH,4,8,+137,-149
05/16/2017,DET,BAL,11,13,-109,+101
05/16/2017,MIA,HOU,2,12,+146,-158
05/16/2017,TEX,PHI,5,1,-175,+161
05/16/2017,CHC,CIN,9,5,-190,+174
05/16/2017,MIN,COL,3,7,-114,+105
05/16/2017,STL,BOS,3,6,-104,-104
05/16/2017,KC,NYY,1,7,+106,-115
05/16/2017,ARI,NYM,5,4,-160,+147
05/16/2017,LAA,CWS,7,6,-184,+169
05/16/2017,SEA,OAK,6,9,-104,-104
05/16/2017,SD,MIL,2,6,-122,+113
05/16/2017,SF,LAD,2,1,+134,-145
