date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/30/2017,CLE,OAK,9,4,-160,+147
05/30/2017,STL,LAD,4,9,+108,-117
05/30/2017,BAL,NYY,3,8,+152,-165
05/30/2017,PIT,ARI,0,3,-120,+111
05/30/2017,TOR,CIN,6,4,-201,+184
05/30/2017,NYM,MIL,5,4,-131,+121
05/30/2017,COL,SEA,4,10,-145,+134
05/30/2017,MIA,PHI,7,2,-117,+108
05/30/2017,TEX,TB,9,5,-100,-108
05/30/2017,CWS,BOS,7,13,+151,-164
05/30/2017,MIN,HOU,2,7,-107,-101
05/30/2017,KC,DET,1,0,+121,-131
05/30/2017,LAA,ATL,9,3,-122,+113
05/30/2017,SD,CHC,6,2,+127,-138
05/30/2017,SF,WSH,3,6,-125,+115
